run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[0].channel,packets:count,,,348,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[0].channel,packetBytes:sum,,,700935,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[0].channel,throughput:last,,,28108.438778831,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[0].channel,utilization:last,,,0.7176981312419,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[1].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[1].channel,packets:count,,,334,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[1].channel,packetBytes:sum,,,660440,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[1].channel,throughput:last,,,26474.400993886,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[1].channel,utilization:last,,,0.8689136077039,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[1].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[2].channel,packetsDiscarded:count,,,0,,,,,,,,,,
